Pertanyaan,A,B,C,D,
Bagaimana kulit wajah Anda terasa setelah mencuci muka tanpa pelembap?,Kering dan tertarik,Berminyak,"Normal, tidak terlalu kering atau berminyak","Berbeda-beda (kadang kering, kadang berminyak)",tipe kulit
Bagaimana penampilan pori-pori Anda?,Hampir tidak terlihat,Terlihat besar di beberapa area,"Normal, tidak terlalu besar atau kecil",Sangat terlihat di seluruh wajah,anti aging
Seberapa sering Anda mengalami jerawat?,Jarang sekali,"Sering, terutama di zona T","Tidak terlalu sering, hanya di area tertentu",Sangat sering di berbagai area wajah,jerawat
Bagaimana kulit Anda terasa di sore hari?,Sangat kering,Berminyak di seluruh wajah,Normal,"Kombinasi (kering di beberapa area, berminyak di area lain)",
Apakah kulit Anda sering mengalami kemerahan atau iritasi?,"Sering, terutama saat udara dingin atau panas",Kadang-kadang saat mencoba produk baru,Hampir tidak pernah,Tergantung kondisi tertentu,
Bagaimana kulit Anda terasa setelah terkena sinar matahari?,Mudah terbakar dan terasa kering,Berminyak atau berkeringat,Tidak ada perubahan signifikan,Tergantung pada durasi paparan,tipe kulit
Apa masalah utama kulit wajah Anda?,Kulit kering atau kusam,Minyak berlebih dan jerawat,Penuaan dini atau garis halus,Kombinasi masalah,"anti aging, brightening, .."
Bagaimana reaksi kulit Anda terhadap produk baru?,"Sangat sensitif, sering iritasi",Sensitif hanya pada produk tertentu,Biasanya tidak ada masalah,Tergantung jenis produk,
Produk apa yang paling Anda prioritaskan dalam skincare?,Pelembap untuk hidrasi,Pembersih untuk kontrol minyak,Serum untuk perawatan spesifik,Sunscreen untuk perlindungan,kategori
Seberapa sering Anda menggunakan sunscreen?,Setiap hari tanpa absen,"Kadang-kadang, hanya saat keluar rumah",Jarang sekali,Hampir tidak pernah,
Apakah Anda sering terpapar cuaca ekstrem (panas atau dingin)?,"Ya, sering terkena cuaca ekstrem","Kadang-kadang, terutama di musim tertentu","Tidak, cuaca stabil sepanjang tahun",Beragam tergantung musim,
Seberapa sering Anda mengonsumsi makanan berminyak atau tinggi gula?,Sangat sering,Kadang-kadang,Jarang sekali,Hampir tidak pernah,
Bagaimana tingkat stres Anda sehari-hari?,Sangat tinggi dan sering tertekan,"Sedang, kadang stres","Rendah, jarang stres",Tidak pernah stres,
Berapa banyak air yang Anda minum dalam sehari?,Kurang dari 1 liter,1–2 liter,Lebih dari 2 liter,"Tidak teratur, tergantung aktivitas",
