Jawaban,Produk,Fitur,Bahan
"[3, 4, 4, 4, 3, 1, 4, 3, 4, 3, 1, 3, 4, 2]","Sunscreen, Mask","Balanced Hydration, UV Protection","Allantoin, Niacinamide, Water, Panthenol"
"[3, 1, 3, 3, 4, 4, 2, 1, 3, 3, 4, 3, 1, 2]","Sunscreen, Booster","Custom Care, Balanced Hydration","Allantoin, Cica, Panthenol, Water"
"[4, 2, 1, 4, 3, 1, 1, 2, 1, 1, 2, 2, 2, 1]","Sunscreen, Serum","Balancing, UV Protection","Panthenol, Ceramide, Allantoin, Glycerin"
"[1, 1, 4, 2, 2, 1, 4, 3, 4, 3, 3, 3, 2, 2]","Sunscreen, Booster","Balanced, UV Protection","Niacinamide, Allantoin, Panthenol, Salicylic Acid"
"[1, 1, 4, 4, 3, 1, 4, 4, 2, 4, 2, 1, 3, 4]","Sunscreen, Serum","Balancing, Custom Care","Niacinamide, Panthenol, Salicylic Acid, Ceramide"
"[3, 4, 4, 4, 3, 4, 3, 3, 1, 4, 1, 1, 3, 3]","Sunscreen, Mask","Protective, Balanced","Niacinamide, Salicylic Acid, Panthenol, Ceramide"
"[2, 3, 2, 3, 2, 4, 2, 2, 2, 3, 1, 2, 2, 2]","Cleanser, Sunscreen","Acne Free, Balancing","Panthenol, Allantoin, Salicylic Acid, Niacinamide"
"[3, 3, 4, 1, 3, 1, 4, 4, 4, 2, 4, 3, 2, 4]","Sunscreen, Booster","Balancing, Balanced","Panthenol, Allantoin, Water, Niacinamide"
"[3, 3, 2, 1, 2, 3, 4, 1, 1, 2, 1, 2, 1, 3]","Calming Mask, Essence","Protective, Hydrating","Panthenol, Allantoin, Cica, Niacinamide"
"[3, 4, 4, 1, 4, 3, 3, 1, 2, 1, 4, 2, 3, 4]","Essence, Mask","Balancing, Balanced Hydration","Panthenol, Allantoin, Niacinamide, Salicylic Acid"
"[1, 1, 1, 1, 3, 4, 4, 4, 2, 2, 2, 4, 2, 4]","Sunscreen, Booster","Protective, Custom Care","Panthenol, Niacinamide, Glycerin, Salicylic Acid"
"[4, 3, 4, 1, 3, 2, 1, 4, 3, 3, 3, 2, 2, 1]","Sunscreen, Moisturizer","Balancing, Balanced","Panthenol, Glycerin, Niacinamide, Glycol"
"[4, 1, 2, 4, 4, 3, 1, 3, 4, 2, 1, 2, 1, 3]","Sunscreen, Serum","Protective, Balancing","Panthenol, Niacinamide, Cica, Ceramide"
"[4, 4, 2, 2, 1, 1, 3, 2, 1, 2, 2, 2, 1, 1]","Serum, Calming Mask","Calming, Soothing","Niacinamide, Allantoin, Panthenol, Cica"
"[3, 3, 1, 3, 2, 4, 4, 4, 2, 3, 4, 4, 4, 1]","Sunscreen, Booster","Custom Care, Balancing","Allantoin, Panthenol, Water, Salicylic Acid"
"[1, 2, 1, 2, 4, 4, 2, 3, 1, 1, 4, 2, 2, 2]","Sunscreen, Booster","Hydrating, Acne Free","Panthenol, Salicylic Acid, Ceramide, Glycerin"
"[4, 4, 1, 3, 4, 1, 2, 4, 1, 4, 4, 4, 3, 1]","Sunscreen, Booster","Balancing, Acne Free","Panthenol, Salicylic Acid, Allantoin, Ceramide"
"[3, 4, 2, 4, 2, 3, 1, 1, 2, 2, 2, 3, 3, 1]","Essence, Sunscreen","Soothing, Protective","Niacinamide, Allantoin, Ceramide, Salicylic Acid"
"[3, 4, 3, 2, 4, 1, 1, 1, 2, 3, 4, 2, 3, 3]","Sunscreen, Cleanser","Acne Prevention, Oil Control","Niacinamide, Allantoin, Salicylic Acid, Cica"
"[3, 4, 2, 1, 3, 1, 2, 4, 1, 1, 3, 1, 2, 1]","Sunscreen, Cleanser","Acne Free, Hydrating","Niacinamide, Allantoin, Salicylic Acid, Glycerin"
"[3, 1, 3, 3, 2, 3, 2, 1, 4, 2, 2, 1, 1, 4]","Essence, Serum","Balancing, Soothing","Allantoin, Water, Niacinamide, Cica"
"[1, 1, 3, 3, 1, 4, 2, 2, 4, 1, 3, 2, 1, 1]","Sunscreen, Moisturizer","Hydrating, Acne Prevention","Allantoin, Cica, Panthenol, Glycerin"
"[2, 1, 1, 1, 3, 4, 4, 2, 1, 2, 4, 2, 3, 1]","Sunscreen, Booster","Hydrating, Pore Care","Panthenol, Niacinamide, Glycerin, Ceramide"
"[2, 3, 2, 4, 1, 2, 2, 1, 2, 2, 2, 2, 4, 1]","Cleanser, Sunscreen","Acne Free, Calming","Niacinamide, Allantoin, Salicylic Acid, Cica"
"[2, 2, 1, 3, 3, 1, 3, 4, 3, 2, 3, 3, 3, 1]","Sunscreen, Serum","Balanced, Pore Care","Niacinamide, Salicylic Acid, Water, Allantoin"
"[1, 1, 2, 4, 3, 1, 1, 4, 4, 4, 1, 4, 1, 1]","Sunscreen, Moisturizer","Hydrating, Protective","Allantoin, Glycerin, Ceramide, Niacinamide"
"[1, 3, 2, 2, 1, 1, 1, 4, 3, 4, 3, 4, 2, 3]","Sunscreen, Moisturizer","Balanced, Custom Care","Allantoin, Niacinamide, Glycerin, Bakuchiol"
"[1, 3, 4, 4, 1, 4, 3, 1, 1, 1, 1, 2, 3, 3]","Moisturizer, Calming Mask","Hydrating, Balanced","Allantoin, Panthenol, Cica, Ceramide"
"[1, 1, 3, 4, 4, 3, 2, 1, 2, 4, 3, 4, 3, 3]","Sunscreen, Serum","Protective, Balanced","Niacinamide, Ceramide, Cica, Panthenol"
"[3, 3, 3, 2, 1, 3, 2, 2, 2, 2, 3, 2, 1, 1]","Cleanser, Essence","Balanced, Acne Prevention","Allantoin, Cica, Niacinamide, Salicylic Acid"
"[2, 1, 4, 3, 2, 1, 2, 4, 2, 3, 2, 4, 1, 3]","Sunscreen, Cleanser","Pore Care, Soothing","Allantoin, Salicylic Acid, Niacinamide, Water"
"[2, 4, 3, 3, 2, 1, 4, 1, 3, 3, 3, 3, 3, 3]","Sunscreen, Serum","Balanced, Pore Care","Niacinamide, Allantoin, Salicylic Acid, Cica"
"[4, 3, 2, 4, 4, 4, 4, 2, 1, 1, 3, 3, 1, 1]","Serum, Moisturizer","Balanced, Custom Care","Panthenol, Allantoin, Niacinamide, Ceramide"
