Jawaban,Produk,Fitur,Bahan
"[3, 1, 2, 3, 4, 1, 3, 3, 4, 4, 3, 2, 3, 1]","Sunscreen, Toner","Balanced, UV Protection","Niacinamide, Water, Allantoin, Panthenol"
"[4, 1, 4, 3, 4, 4, 4, 1, 3, 1, 4, 4, 2, 4]","Booster, Serum","Balancing, Custom Care","Panthenol, Allantoin, Glycol, Niacinamide"
"[4, 4, 3, 4, 3, 1, 4, 4, 2, 2, 2, 3, 3, 3]","Sunscreen, Serum","Protective, Balancing","Niacinamide, Panthenol, Glycol, Salicylic Acid"
"[2, 3, 1, 4, 3, 4, 1, 3, 1, 1, 1, 4, 2, 2]","Sunscreen, Moisturizer","Balanced, Balancing","Allantoin, Panthenol, Niacinamide, Salicylic Acid"
"[4, 3, 3, 3, 1, 2, 3, 1, 3, 1, 3, 1, 2, 4]","Serum, Sunscreen","Balancing, Balanced","Allantoin, Panthenol, Cica, Niacinamide"
"[2, 4, 1, 2, 1, 1, 3, 3, 3, 4, 3, 1, 2, 3]","Sunscreen, Cleanser","Pore Care, Acne Free","Niacinamide, Salicylic Acid, Allantoin, Retinol"
"[2, 1, 3, 4, 3, 2, 2, 3, 2, 3, 3, 2, 1, 1]","Sunscreen, Cleanser","Pore Care, Acne Prevention","Niacinamide, Salicylic Acid, Cica, Ceramide"
"[2, 3, 4, 1, 2, 2, 1, 1, 4, 2, 1, 3, 2, 2]","Sunscreen, Moisturizer","Balanced, Pore Care","Niacinamide, Allantoin, Panthenol, Salicylic Acid"
"[3, 1, 4, 4, 4, 3, 1, 4, 3, 3, 1, 4, 4, 2]","Sunscreen, Essence","Custom Care, Balanced Hydration","Allantoin, Panthenol, Ceramide, Bakuchiol"
"[1, 3, 1, 1, 2, 4, 1, 1, 3, 1, 3, 3, 2, 4]","Sunscreen, Moisturizer","Balanced, Hydrating","Panthenol, Glycerin, Allantoin, Bakuchiol"
"[1, 3, 2, 4, 4, 3, 2, 4, 4, 3, 4, 1, 4, 1]","Moisturizer, Booster","Acne Free, Hydrating","Ceramide, Allantoin, Panthenol, Glycerin"
"[4, 1, 3, 2, 3, 3, 1, 1, 2, 3, 4, 3, 4, 4]","Sunscreen, Serum","Balancing, Oil Control","Niacinamide, Panthenol, Allantoin, Glycol"
"[2, 1, 4, 1, 3, 4, 3, 3, 4, 3, 1, 1, 1, 1]","Sunscreen, Cleanser","Pore Care, Hydrating","Niacinamide, Salicylic Acid, Panthenol, Allantoin"
"[2, 1, 3, 2, 2, 2, 2, 2, 4, 3, 3, 3, 4, 4]","Sunscreen, Serum","Pore Care, Oil Control","Niacinamide, Salicylic Acid, Panthenol, Allantoin"
"[3, 4, 2, 2, 1, 2, 1, 4, 3, 1, 2, 1, 1, 3]","Sunscreen, Essence","Acne Free, Oil Control","Niacinamide, Allantoin, Salicylic Acid, Cica"
"[2, 4, 1, 2, 1, 2, 4, 2, 1, 4, 2, 1, 2, 2]","Cleanser, Sunscreen","Pore Care, Acne Free","Salicylic Acid, Niacinamide, Allantoin, Panthenol"
"[3, 4, 2, 2, 1, 3, 3, 4, 1, 3, 4, 4, 3, 2]","Sunscreen, Essence","Balanced Hydration, Protective","Allantoin, Niacinamide, Ceramide, Salicylic Acid"
"[4, 1, 3, 1, 2, 3, 3, 2, 1, 2, 1, 3, 3, 3]","Serum, Sunscreen","Protective, Hydrating","Panthenol, Niacinamide, Cica, Glycerin"
"[1, 4, 1, 1, 2, 3, 4, 2, 3, 1, 3, 2, 2, 2]","Sunscreen, Serum","Hydrating, Soothing","Panthenol, Glycerin, Ceramide, Niacinamide"
"[1, 2, 2, 3, 2, 1, 4, 4, 4, 2, 3, 1, 4, 3]","Sunscreen, Spot Treatment","Acne Free, UV Protection","Niacinamide, Allantoin, Water, Panthenol"
"[4, 2, 3, 1, 3, 2, 4, 4, 3, 4, 2, 2, 3, 2]","Sunscreen, Serum","Custom Care, Acne Prevention","Panthenol, Niacinamide, Glycol, Cica"
"[3, 1, 4, 1, 3, 4, 3, 4, 1, 4, 1, 3, 1, 1]","Sunscreen, Booster","Hydrating, Custom Care","Panthenol, Niacinamide, Glycerin, Allantoin"
"[2, 1, 3, 4, 1, 3, 3, 1, 3, 1, 2, 2, 1, 1]","Serum, Calming Mask","Calming, Pore Care","Cica, Allantoin, Ceramide, Niacinamide"
"[3, 1, 1, 2, 1, 2, 4, 4, 1, 4, 2, 1, 4, 2]","Sunscreen, Essence","Balanced Hydration, Acne Free","Allantoin, Niacinamide, Salicylic Acid, Panthenol"
"[4, 3, 3, 4, 3, 1, 4, 4, 3, 1, 3, 2, 3, 1]","Sunscreen, Serum","Balanced, Custom Care","Panthenol, Allantoin, Niacinamide, Glycol"
"[2, 3, 3, 1, 4, 3, 4, 4, 1, 4, 3, 2, 2, 4]","Booster, Moisturizer","Custom Care, Balanced","Panthenol, Niacinamide, Cica, Glycerin"
"[4, 1, 2, 2, 1, 2, 1, 2, 2, 4, 2, 3, 1, 1]","Serum, Cleanser","Oil Control, Calming","Niacinamide, Allantoin, Panthenol, Salicylic Acid"
"[1, 1, 2, 3, 1, 1, 4, 3, 3, 1, 3, 1, 1, 2]","Sunscreen, Calming Mask","Acne Free, Calming","Allantoin, Niacinamide, Water, Cica"
"[4, 4, 4, 1, 3, 2, 1, 2, 2, 3, 1, 3, 1, 3]","Sunscreen, Serum","Protective, Oil Control","Niacinamide, Panthenol, Salicylic Acid, Glycerin"
"[2, 2, 1, 2, 3, 1, 3, 1, 2, 1, 3, 4, 2, 4]","Sunscreen, Cleanser","Pore Care, Oil Control","Salicylic Acid, Niacinamide, Allantoin, Panthenol"
"[3, 2, 4, 2, 1, 2, 2, 4, 4, 4, 2, 4, 3, 2]","Sunscreen, Essence","Balanced Hydration, Oil Control","Allantoin, Salicylic Acid, Niacinamide, Water"
"[2, 1, 2, 2, 1, 2, 1, 3, 1, 1, 2, 4, 3, 3]","Sunscreen, Cleanser","Pore Care, Oil Control","Niacinamide, Allantoin, Salicylic Acid, Glycerin"
"[2, 4, 4, 4, 4, 2, 4, 3, 4, 4, 2, 3, 2, 3]","Sunscreen, Booster","Pore Care, Balancing","Niacinamide, Panthenol, Salicylic Acid, Allantoin"
"[1, 2, 3, 4, 3, 2, 1, 1, 2, 3, 4, 2, 4, 3]","Sunscreen, Moisturizer","Acne Prevention, Balancing","Niacinamide, Ceramide, Cica, Panthenol"
"[2, 1, 4, 3, 4, 1, 4, 1, 2, 2, 1, 1, 4, 4]","Sunscreen, Cleanser","Pore Care, Balancing","Niacinamide, Salicylic Acid, Allantoin, Panthenol"
"[4, 4, 2, 2, 3, 4, 3, 4, 4, 1, 4, 2, 1, 1]","Sunscreen, Booster","Balancing, Custom Care","Panthenol, Niacinamide, Allantoin, Glycol"
"[4, 3, 2, 3, 2, 1, 2, 3, 1, 1, 3, 3, 2, 1]","Sunscreen, Moisturizer","Balanced, Balancing","Allantoin, Niacinamide, Panthenol, Water"
"[2, 3, 1, 4, 4, 3, 3, 2, 4, 4, 3, 1, 2, 1]","Sunscreen, Serum","Balanced, Acne Free","Panthenol, Salicylic Acid, Niacinamide, Ceramide"
"[3, 4, 4, 1, 3, 3, 4, 1, 3, 3, 4, 2, 2, 3]","Sunscreen, Booster","Protective, Custom Care","Panthenol, Allantoin, Niacinamide, Salicylic Acid"
